"","MM.purple","MM.darkgrey","MM.darkturquoise","MM.salmon","MM.orange"
"B_NFAM1",-0.016429037794638,-0.033723482359954,0.337727996101967,0.123318175000491,-0.478292090794636
"B_LILRA5",0.0503600952182573,0.00621612952523446,0.384838713033118,0.140328151390853,-0.478438996960193
"B_FOSL2",0.0275321925773478,0.0283245406451164,0.341146879248963,0.128699959046336,-0.513003052392237
"B_PYGL",-0.033748012195952,-0.0443388450997006,0.320317152132147,0.107334657926431,-0.535047315022218
"B_FPR2",0.00101625250590706,-0.0174985592346373,0.450955678379358,0.0756202746729915,-0.592640156343203
"B_ACTN1",0.0167735929413559,-0.0158291313587173,0.349352315742551,0.0904566810146749,-0.5993210188673
"B_IL32",0.0471200079841428,-0.0722114885594396,0.127939928710674,0.133370308838085,-0.332602677588549
"B_SULF2",-0.0558085251017795,-0.0291693817647551,0.292865737044478,0.135748594407165,-0.508049051089869
"B_P2RY13",-0.0111945866895074,-0.0467323133222262,0.387295200096766,0.117665575882208,-0.604912459658593
"B_IFI44L",0.756983164447569,0.410027308422191,0.924335794004306,-0.2981676236717,-0.364296614146119
